date,ID,time_rel_sunrise,UST
2022-05-14,LbOW,-1756.966381,9
2022-05-14,TbTbLg,-1753.586695,9
2022-05-14,LbOW,-1751.729175,8
2022-05-14,DgTbO,-1751.420871,8
2022-05-14,YKY,-1751.393403,9
2022-05-14,RRO,-1747.491989,9
2022-05-14,DgTbO,-1742.668807,12
2022-05-14,YKY,-1742.593788,18
2022-05-14,TbTbLg,-1742.332532,8
2022-05-14,LbOW,-1742.089035,3
2022-05-14,YKY,-1736.506987,1
2022-05-14,DgTbO,-1736.065335,11
2022-05-14,LbOW,-1734.683837,5
2022-05-14,RRO,-1733.193099,12
2022-05-14,YKY,-1732.648549,19
2022-05-14,TbTbLg,-1732.437294,19
2022-05-14,DgTbO,-1729.678694,32
2022-05-14,YKY,-1727.430366,27
2022-05-14,LbOW,-1726.779008,8
2022-05-14,TbTbLg,-1723.63236,62
2022-05-14,DgTbO,-1722.661278,8
2022-05-14,YKY,-1722.163367,169
2022-05-14,LbOW,-1719.993885,9
2022-05-14,YKY,-1713.914726,1
2022-05-14,DgTbO,-1713.702239,33
2022-05-14,LbOW,-1713.275677,29
2022-05-14,TbTbLg,-1713.006735,19
2022-05-14,RRO,-1710.252853,12
2022-05-14,YKY,-1708.748264,18
2022-05-14,LbOW,-1708.069768,21
2022-05-14,DgTbO,-1706.941073,12
2022-05-14,TbTbLg,-1705.741555,1
2022-05-14,YKY,-1703.673272,19
2022-05-14,LbOW,-1701.543344,17
2022-05-14,DgTbO,-1701.362618,7
2022-05-14,TbTbLg,-1699.930123,17
2022-05-14,YKY,-1697.822986,17
2022-05-14,DgTbO,-1696.188255,33
2022-05-14,LbOW,-1695.364951,9
2022-05-14,TbTbLg,-1693.451508,19
2022-05-14,YKY,-1692.539281,169
2022-05-14,DgTbO,-1690.333834,153
2022-05-14,LbOW,-1689.842245,8
2022-05-14,YKY,-1686.181313,27
2022-05-14,DgTbO,-1684.193574,33
2022-05-14,LbOW,-1683.721844,10
2022-05-14,YKY,-1681.06229,19
2022-05-14,DgTbO,-1678.891085,1
2022-05-14,TbTbLg,-1678.506829,62
2022-05-14,LbOW,-1677.311401,120
2022-05-14,YKY,-1674.36731,1
2022-05-14,TbTbLg,-1672.439743,3
2022-05-14,DgTbO,-1671.3513,20
2022-05-14,LbOW,-1669.651927,120
2022-05-14,YKY,-1669.256613,18
2022-05-14,RRO,-1668.389526,30
2022-05-14,TbTbLg,-1666.306828,1
2022-05-14,DgTbO,-1666.226217,7
2022-05-14,YKY,-1662.413493,20
2022-05-14,LbOW,-1661.650751,9
2022-05-14,RRO,-1660.821525,13
2022-05-14,DgTbO,-1660.204245,32
2022-05-14,TbTbLg,-1659.806341,18
2022-05-14,YKY,-1658.472325,8
